finding_type,condition,mean,std_mean_by_dimension,minimum,maximum,total_time_seconds
mass,C1,1.5658045650156533,0.9022212806004865,0.0,3.141592653589793,0.0
mass,C2,0.002227783655161604,0.5968940060054749,-5.161720705678744,5.010463461232144,0.0
mass,C3,-0.000352218096677327,0.1481497050706261,-0.6531785029695293,0.6536738338929076,0.0
mass,C4,0.005806046741224043,0.05649745376447752,-0.6243919445562846,0.5781486425746737,12.33628674998181
mass,C5,0.0057036463799919924,0.055184582427860264,-0.6167185276414152,0.637885894638792,13.465736042009667
calcification,C1,1.5681223369394892,0.9050561799498925,0.0,3.141592653589793,0.0
calcification,C2,0.006466682893418404,0.6030381228588267,-4.8404988869748395,5.2601597933740205,0.0
calcification,C3,0.0015532026016785514,0.14577153664563894,-0.6248020747662321,0.6961084137120033,0.0
calcification,C4,0.002247225616893357,0.047745593333321755,-0.6180337300875945,0.5724036444881485,13.888383167010034
calcification,C5,0.0022266393428570933,0.04636189686857637,-0.6210908382771378,0.6322038740341581,14.94320433298708
