shots,dispersion,esperado,sesgo_vs_statevector,n_repeats
512,0.041399027558122366,0.044194173824159216,0.016994482736283876,10
1024,0.02838452333685446,0.03125,0.015071612014478578,10
2048,0.021082128513789766,0.022097086912079608,0.014073823151943396,10
4096,0.014377114025314183,0.015625,0.01322498841075754,10
8192,0.010055339405126804,0.011048543456039804,0.012635683160726927,10
