k,reps,n_weights,n_theta,std_media,std_de_std,std_min,std_max,segundos
8,1,16,10,0.08544521693828629,0.01276067926646009,0.07137495032272358,0.11026085773732006,15.403319835662842
8,2,24,10,0.08490014440150248,0.009249618917166455,0.07372578498371604,0.10013823954881444,17.295332193374634
8,3,32,10,0.07347983368331444,0.004902539078914961,0.06718016264904221,0.08413199541129363,19.416380882263184
12,1,24,10,0.04558478540927407,0.006427890257913617,0.03540569512650358,0.05394920079699295,85.67574715614319
12,2,36,10,0.05726705690485556,0.0033165202712662663,0.05163480739095181,0.06294001058925275,92.80611610412598
12,3,48,10,0.03487103393267883,0.004144975526803601,0.027094474425821496,0.04003400596064511,101.33203792572021
16,1,32,10,0.04115117006643632,0.008195916324779317,0.030695279586093693,0.05957655849990099,1055.5595090389252
16,2,48,10,0.04120819588557002,0.003884918690913573,0.03445031838376324,0.04694216871586851,1082.1958599090576
16,3,64,10,0.02395557703373441,0.001510641821580734,0.02168584184865733,0.026393478299306935,1150.5202991962433
