finding_type,feature,family,spearman_raw_clahe,abs_d_raw,abs_d_clahe,delta_abs_d
mass,original_firstorder_10Percentile,firstorder,0.8031647441347962,0.3105577734254708,0.274520801790956,-0.0360369716345148
mass,original_firstorder_90Percentile,firstorder,0.8468570771736016,0.5009384034423174,0.4917872956953094,-0.009151107747008058
mass,original_firstorder_Energy,firstorder,0.9702751097119745,0.47641446776808155,0.4640406532650197,-0.012373814503061853
mass,original_firstorder_Entropy,firstorder,0.6636810392099863,0.08725294358918956,0.06044155471451829,-0.026811388874671264
mass,original_firstorder_InterquartileRange,firstorder,0.8382170522221893,0.23149964153723593,0.15551007624470534,-0.07598956529253059
mass,original_firstorder_Kurtosis,firstorder,0.6267587374120359,0.05049734085412343,0.00016949764064488345,-0.05032784321347855
mass,original_firstorder_Maximum,firstorder,0.8677190123606627,0.5024546838962795,0.45986666596428294,-0.042588017931996514
mass,original_firstorder_MeanAbsoluteDeviation,firstorder,0.8521998930998931,0.21539605620129548,0.15754651827283878,-0.05784953792845671
mass,original_firstorder_Mean,firstorder,0.8340576148959226,0.43425473478130006,0.41440254390634834,-0.019852190874951714
mass,original_firstorder_Median,firstorder,0.8357426203078352,0.4440866904518434,0.4219024877626043,-0.022184202689239096
mass,original_firstorder_Minimum,firstorder,0.7546662925604227,0.1804555251551735,0.14773984390974612,-0.03271568124542737
mass,original_firstorder_Range,firstorder,0.8363017210439133,0.22402713257583418,0.14615741605597937,-0.0778697165198548
mass,original_firstorder_RobustMeanAbsoluteDeviation,firstorder,0.8445660003806356,0.19634222639434964,0.1459980081027603,-0.05034421829158933
mass,original_firstorder_RootMeanSquared,firstorder,0.835241037795791,0.44177316765421304,0.4271901100304586,-0.014583057623754447
mass,original_firstorder_Skewness,firstorder,0.6394450371881304,0.1553286271517711,0.12314281555605054,-0.03218581159572055
mass,original_firstorder_TotalEnergy,firstorder,0.9702751097119745,0.47641446776808155,0.4640406532650197,-0.012373814503061853
mass,original_firstorder_Uniformity,firstorder,0.634496779103539,0.06980757939161841,0.0390460705848318,-0.03076150880678661
mass,original_firstorder_Variance,firstorder,0.8544052453596558,0.12466989246761151,0.12571476389541775,0.0010448714278062377
mass,original_glcm_Autocorrelation,glcm,0.6210378921776368,0.22239808652616927,0.27604699903545804,0.05364891250928877
mass,original_glcm_ClusterProminence,glcm,0.7890827594353794,0.06227701502329794,0.11871096279957113,0.0564339477762732
mass,original_glcm_ClusterShade,glcm,0.7133754243997897,0.15592190972172174,0.14755267655778004,-0.008369233163941697
mass,original_glcm_ClusterTendency,glcm,0.7743582667358327,0.11836128117507799,0.12133667651360591,0.0029753953385279197
mass,original_glcm_Contrast,glcm,0.9374190414505652,0.2875241048523444,0.2787832064570723,-0.008740898395272145
mass,original_glcm_Correlation,glcm,0.9640857225132113,0.30695530422656064,0.27899985220680595,-0.02795545201975469
mass,original_glcm_DifferenceAverage,glcm,0.9318999583160393,0.2730809694304078,0.27417903388981185,0.0010980644594040245
mass,original_glcm_DifferenceEntropy,glcm,0.9392443398491502,0.2509722474444453,0.24145325497093764,-0.009518992473507654
mass,original_glcm_DifferenceVariance,glcm,0.939691324532912,0.252240145715933,0.2553958844769002,0.003155738760967197
mass,original_glcm_Id,glcm,0.9229898043523218,0.24251326323499162,0.2515357262971762,0.009022463062184571
mass,original_glcm_Idm,glcm,0.9257321912929347,0.24911173702842218,0.2570710962184094,0.00795935918998722
mass,original_glcm_Idmn,glcm,0.9373237921288091,0.2896554242689612,0.27911129751947394,-0.010544126749487237
mass,original_glcm_Idn,glcm,0.9313118266430687,0.27019512223985787,0.27254930847978254,0.0023541862399246716
mass,original_glcm_Imc1,glcm,0.9666049211047163,0.26822606733562626,0.2620739437628088,-0.0061521235728174695
