finding_type,feature,family,spearman_raw_clahe,abs_d_raw,abs_d_clahe,delta_abs_d
mass,original_glrlm_RunPercentage,glrlm,0.9148174722959528,0.22327935907466015,0.23318889738683057,0.009909538312170424
mass,original_glrlm_RunVariance,glrlm,0.8932490697513226,0.11472462129720545,0.14444386875538925,0.0297192474581838
mass,original_glrlm_ShortRunEmphasis,glrlm,0.9247620664945458,0.19463411168056352,0.19981545413118634,0.005181342450622822
mass,original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,0.7926173043708691,0.023223384706297603,0.015286311996198124,-0.007937072710099479
mass,original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,0.6921472998343798,0.11881042907758561,0.14785654846854387,0.02904611939095826
calcification,original_firstorder_10Percentile,firstorder,0.8118484464165616,0.17649090509346424,0.0338047524236606,-0.14268615266980364
calcification,original_firstorder_90Percentile,firstorder,0.838219938234871,0.4777945351353457,0.3469336589131116,-0.13086087622223408
calcification,original_firstorder_Energy,firstorder,0.988470738303582,0.6189130424314382,0.637583055653566,0.0186700132221278
calcification,original_firstorder_Entropy,firstorder,0.6956333335181719,0.38173414258397315,0.30070668897144925,-0.08102745361252389
calcification,original_firstorder_InterquartileRange,firstorder,0.8818825846545413,0.35079798077056673,0.3290312835891151,-0.021766697181451633
calcification,original_firstorder_Kurtosis,firstorder,0.7350993999030272,0.38926112098595,0.32178309650246667,-0.06747802448348333
calcification,original_firstorder_Maximum,firstorder,0.8469037120863407,0.3609092404507124,0.32047530919344847,-0.04043393125726391
calcification,original_firstorder_MeanAbsoluteDeviation,firstorder,0.8777707175608062,0.31489180901343494,0.3195632320232823,0.004671423009847353
calcification,original_firstorder_Mean,firstorder,0.8275737716063444,0.40357081196739797,0.23735983136513394,-0.16621098060226402
calcification,original_firstorder_Median,firstorder,0.8295338815846814,0.4661846743352975,0.2735832173130468,-0.19260145702225068
calcification,original_firstorder_Minimum,firstorder,0.8137357439215511,0.07021250681004941,0.17322231981994676,0.10300981300989735
calcification,original_firstorder_Range,firstorder,0.8700681010970556,0.3087036909990875,0.3339884242003945,0.025284733201306975
calcification,original_firstorder_RobustMeanAbsoluteDeviation,firstorder,0.8827255950614771,0.3303273859996914,0.31434576700208783,-0.015981618997603586
calcification,original_firstorder_RootMeanSquared,firstorder,0.8275431311757996,0.42903554206794314,0.2670280229996568,-0.16200751906828637
calcification,original_firstorder_Skewness,firstorder,0.8073356779243566,0.7037806308195184,0.5100557649642297,-0.1937248658552887
calcification,original_firstorder_TotalEnergy,firstorder,0.988470738303582,0.6189130424314382,0.637583055653566,0.0186700132221278
calcification,original_firstorder_Uniformity,firstorder,0.6784962040411707,0.30087533729528626,0.18510114763332564,-0.11577418966196062
calcification,original_firstorder_Variance,firstorder,0.8693692121787544,0.29608906764442494,0.3347777593223307,0.038688691677905784
calcification,original_glcm_Autocorrelation,glcm,0.7759285546347902,0.6117580207490424,0.3979896525978377,-0.2137683681512047
calcification,original_glcm_ClusterProminence,glcm,0.8019755056306338,0.22617047602555104,0.13241699164641318,-0.09375348437913786
calcification,original_glcm_ClusterShade,glcm,0.8044201248588615,0.6161683410902064,0.4767708239753914,-0.13939751711481496
calcification,original_glcm_ClusterTendency,glcm,0.7988666207038558,0.020488850980671866,0.045233278338721344,0.02474442735804948
calcification,original_glcm_Contrast,glcm,0.9347673547370192,0.39077560969941894,0.5231732142828179,0.132397604583399
calcification,original_glcm_Correlation,glcm,0.9461359709455974,0.3818705006452965,0.4417514903795837,0.05988098973428724
calcification,original_glcm_DifferenceAverage,glcm,0.9258581697337448,0.5228569779119476,0.6206224280009295,0.09776545008898185
calcification,original_glcm_DifferenceEntropy,glcm,0.9319349026759984,0.6200952356865067,0.6793881721254139,0.05929293643890721
calcification,original_glcm_DifferenceVariance,glcm,0.9422718278217593,0.46347545293162784,0.5361518047106713,0.07267635177904341
calcification,original_glcm_Id,glcm,0.9159354863218041,0.6041657355266574,0.6693773653234958,0.06521162979683837
calcification,original_glcm_Idm,glcm,0.9177566093231362,0.5889417239888741,0.6677385814914865,0.07879685750261234
calcification,original_glcm_Idmn,glcm,0.9343550225499038,0.3929343948302861,0.5260701336934843,0.13313573886319824
calcification,original_glcm_Idn,glcm,0.9249188448739547,0.5317444741538037,0.6279476831328631,0.09620320897905943
calcification,original_glcm_Imc1,glcm,0.9616276719557566,0.7075769296458764,0.6955298736867371,-0.012047055959139241
calcification,original_glcm_Imc2,glcm,0.960240681799754,0.4333855019739333,0.44393825931490544,0.010552757340972163
calcification,original_glcm_InverseVariance,glcm,0.43913543064617705,0.6362999965242827,0.2218798304941699,-0.4144201660301128
calcification,original_glcm_JointAverage,glcm,0.7703599592152649,0.6541950275743883,0.4253658650766383,-0.22882916249774998
calcification,original_glcm_JointEnergy,glcm,0.6428229747988629,0.007355513701713765,0.012385020201138838,0.005029506499425073
calcification,original_glcm_JointEntropy,glcm,0.7013562320025528,0.21928399594414888,0.42980759751175956,0.21052360156761069
calcification,original_glcm_MCC,glcm,0.9439865358121643,0.28511395951523855,0.27828369785211354,-0.0068302616631250035
calcification,original_glcm_MaximumProbability,glcm,0.5505071487733451,0.015530679771239576,0.004488382182322891,-0.011042297588916686
calcification,original_glcm_SumAverage,glcm,0.7703599592152649,0.6541950275743882,0.4253658650766383,-0.22882916249774987
calcification,original_glcm_SumEntropy,glcm,0.6721392613576197,0.2867933910441929,0.2842844767871607,-0.002508914257032202
calcification,original_glcm_SumSquares,glcm,0.7947374143112228,0.01454685283298428,0.032507803156665495,0.017960950323681217
calcification,original_glrlm_GrayLevelNonUniformity,glrlm,0.9919673229144882,0.5752235614156523,0.5796676347532072,0.00444407333755481
calcification,original_glrlm_GrayLevelNonUniformityNormalized,glrlm,0.7392930307642508,0.4000377905323666,0.3024289212091105,-0.09760886932325608
calcification,original_glrlm_GrayLevelVariance,glrlm,0.7885558641420197,0.013635726408253758,0.05065164989919352,0.03701592349093976
calcification,original_glrlm_HighGrayLevelRunEmphasis,glrlm,0.7992984315663725,0.6139032144983826,0.45102443083275084,-0.16287878366563174
calcification,original_glrlm_LongRunEmphasis,glrlm,0.8986219056361936,0.2822477306946212,0.08151924867115566,-0.20072848202346555
calcification,original_glrlm_LongRunHighGrayLevelEmphasis,glrlm,0.8729523434217777,0.328958296789502,0.3203661882016936,-0.0085921085878084
calcification,original_glrlm_LongRunLowGrayLevelEmphasis,glrlm,0.760886798685787,0.007278952906237807,0.023707320721487225,0.016428367815249416
calcification,original_glrlm_LowGrayLevelRunEmphasis,glrlm,0.7696628902322489,0.43055085073049154,0.24936681059721227,-0.18118404013327927
calcification,original_glrlm_RunEntropy,glrlm,0.9536870460630161,0.7549405441557867,0.7140827125604566,-0.040857831595330074
calcification,original_glrlm_RunLengthNonUniformity,glrlm,0.9711140564209186,0.546427178934376,0.5180208016055321,-0.02840637732884388
calcification,original_glrlm_RunLengthNonUniformityNormalized,glrlm,0.9091145789969526,0.6354705920224247,0.7385240382247977,0.103053446202373
calcification,original_glrlm_RunPercentage,glrlm,0.9052268490742754,0.6425798044076233,0.6765715380203858,0.03399173361276253
calcification,original_glrlm_RunVariance,glrlm,0.889566198646133,0.2016624373715212,0.038445303799469616,-0.1632171335720516
calcification,original_glrlm_ShortRunEmphasis,glrlm,0.9101665963400858,0.6767498966120538,0.7110631809646432,0.0343132843525894
calcification,original_glrlm_ShortRunHighGrayLevelEmphasis,glrlm,0.7669149680882027,0.18681316962300354,0.11079484595272396,-0.07601832367027958
calcification,original_glrlm_ShortRunLowGrayLevelEmphasis,glrlm,0.8351203294117453,0.6865156291470867,0.4929228378469853,-0.19359279130010143
