k,reps,n_weights,n_theta,std_media,std_de_std,std_min,std_max,std_media_con_ruido_simulado,segundos
8,1,16,10,0.08365934338389719,0.01309354525928406,0.06953340159240945,0.10925767564259964,0.08521103780513803,15.682569333992433
8,2,24,10,0.08325245172701713,0.009121501102250875,0.07152165645588629,0.09887090316585818,0.08496026958469628,20.073261458979687
8,3,32,10,0.07179609170450663,0.005180008498840762,0.06464570773676274,0.08293928870982924,0.07363036751307633,48.47599779101438
12,1,24,10,0.04167829665383193,0.00683355096143503,0.03045746302208245,0.0496986610970947,0.04561180809276043,139.448707500007
12,2,36,10,0.0543596608473005,0.0036068039983973726,0.047525566470898374,0.059887284967757394,0.057047771331373245,108.57635008299258
12,3,48,10,0.030523084702703863,0.004428749763755251,0.02268421577622816,0.03598997475257291,0.03484302500414397,106.48535125001217
16,1,32,10,0.03631874475963201,0.009009427433655563,0.025218651888121994,0.05687013880048334,0.04102669913047678,2891.5717656250054
16,2,48,10,0.03666052411774898,0.004286972049937896,0.029096345702476198,0.04317467860598812,0.04133516869458949,1713.7374019999988
16,3,64,10,0.01609093965184992,0.0023330620241607887,0.013365178930397724,0.01982526587146536,0.023869752806360753,1364.901992833009
