version,pearson_median,pearson_min,spearman_median,contrast_gain_median,contrast_gain_max
"8 bits, no CLAHE",0.99980085986021,0.9876227659332498,0.9994880859737986,1.0001620710103465,1.0259933028171118
"CLAHE on 16 bits, clip 2",0.9998520089473387,0.9871481280839247,0.9997777327389701,1.02265854448108,1.4534196211846955
"CLAHE on 8 bits, clip 2",0.9715710956858487,0.6172188961998564,0.9749799198640352,1.6141931102361757,2.6407411171374564
