shots,dispersion,dispersion_teorica,mae_vs_exacto,mae_teorico,sesgo_medio,sesgo_teorico,n_repeats,segundos
512,0.04261356798147322,0.04416136886614663,0.03488594123446572,0.03523567440221874,0.010622698737850267,0.011142498600310313,10,0.35751512498245575
1024,0.029812565679221286,0.031226803391732765,0.024411270248980443,0.024915384309490127,0.00847455542301519,0.007878936319641039,10,0.44864454100024886
2048,0.021343912045596963,0.022080684433073317,0.0173540234876299,0.01761783720110937,0.0055536770219134024,0.005571249300155156,10,0.6618605419935193
4096,0.015238688930941458,0.015613401695866383,0.012466247200644808,0.012457692154745063,0.0035004532634574114,0.0039394681598205195,10,0.9942763750150334
8192,0.010850185744883889,0.011040342216536658,0.008899332725521698,0.008808918600554685,0.00272219709101092,0.002785624650077578,10,1.710742625000421
16384,0.007621279404439109,0.007806700847933191,0.006251904052397898,0.006228846077372532,0.001966622474741869,0.0019697340799102597,10,3.3920219999854453
65536,0.0037894928027350345,0.0039033504239665956,0.003121672532180029,0.003114423038686266,0.0010543590994206368,0.0009848670399551299,10,11.328703958017286
262144,0.0018991867386386975,0.0019516752119832978,0.001563465136632335,0.001557211519343133,0.000487175696702574,0.0004924335199775649,10,44.578057416016236
1048576,0.0009487329241311702,0.0009758376059916489,0.0007728813872417726,0.0007786057596715665,0.00023092758107705422,0.00024621675998878247,10,167.993195499992
